timestamp_utc,timestamp_ist,open,high,low,close,tick_count,average_spread
2026-07-14 00:00:00,2026-07-14 05:30:00,4001.215,4003.465,3999.78,4002.985,500,0.834
2026-07-14 00:01:00,2026-07-14 05:31:00,4003.01,4004.785,4001.06,4001.27,385,0.8
2026-07-14 00:02:00,2026-07-14 05:32:00,4001.125,4001.53,3996.565,3996.66,419,0.822
2026-07-14 00:03:00,2026-07-14 05:33:00,3996.48,3998.47,3996.34,3997.09,354,0.807
2026-07-14 00:04:00,2026-07-14 05:34:00,3997.05,3997.05,3993.12,3995.005,402,0.806
2026-07-14 00:05:00,2026-07-14 05:35:00,3994.565,3994.96,3992.105,3992.955,450,0.808
2026-07-14 00:06:00,2026-07-14 05:36:00,3992.945,3993.775,3990.18,3991.825,455,0.828
2026-07-14 00:07:00,2026-07-14 05:37:00,3991.885,3992.505,3983.715,3990.535,486,0.862
2026-07-14 00:08:00,2026-07-14 05:38:00,3990.505,3992.1,3989.895,3991.45,326,0.801
2026-07-14 00:09:00,2026-07-14 05:39:00,3991.43,3995.44,3991.43,3995.0,361,0.803
2026-07-14 00:10:00,2026-07-14 05:40:00,3995.17,3998.86,3994.84,3998.47,423,0.831
2026-07-14 00:11:00,2026-07-14 05:41:00,3998.475,3998.75,3995.78,3998.205,411,0.829
2026-07-14 00:12:00,2026-07-14 05:42:00,3998.235,3999.015,3994.915,3994.925,397,0.782
2026-07-14 00:13:00,2026-07-14 05:43:00,3994.955,3995.15,3991.37,3993.735,439,0.813
2026-07-14 00:14:00,2026-07-14 05:44:00,3993.615,3995.78,3993.565,3995.58,299,0.795
2026-07-14 00:15:00,2026-07-14 05:45:00,3995.1,3996.185,3991.26,3992.11,363,0.806
2026-07-14 00:16:00,2026-07-14 05:46:00,3991.93,3993.43,3991.24,3991.58,385,0.802
2026-07-14 00:17:00,2026-07-14 05:47:00,3991.68,3991.98,3990.305,3991.435,404,0.849
2026-07-14 00:18:00,2026-07-14 05:48:00,3991.415,3992.025,3990.545,3991.965,417,0.83
2026-07-14 00:19:00,2026-07-14 05:49:00,3992.0,3992.435,3987.435,3987.875,423,0.816
2026-07-14 00:20:00,2026-07-14 05:50:00,3987.925,3988.53,3986.045,3987.605,471,0.805
2026-07-14 00:21:00,2026-07-14 05:51:00,3987.635,3990.505,3987.495,3989.58,404,0.802
2026-07-14 00:22:00,2026-07-14 05:52:00,3989.455,3989.895,3988.46,3989.29,397,0.805
2026-07-14 00:23:00,2026-07-14 05:53:00,3989.32,3989.32,3985.46,3987.04,471,0.806
2026-07-14 00:24:00,2026-07-14 05:54:00,3987.01,3991.0,3986.575,3990.56,477,0.808
2026-07-14 00:25:00,2026-07-14 05:55:00,3990.7,3990.74,3989.42,3990.4,312,0.807
2026-07-14 00:26:00,2026-07-14 05:56:00,3990.435,3991.26,3989.625,3990.06,324,0.796
2026-07-14 00:27:00,2026-07-14 05:57:00,3990.09,3992.77,3989.0,3992.53,279,0.79
2026-07-14 00:28:00,2026-07-14 05:58:00,3992.75,3996.555,3992.11,3995.545,333,0.805
2026-07-14 00:29:00,2026-07-14 05:59:00,3995.56,3997.135,3994.915,3995.485,328,0.783
2026-07-14 00:30:00,2026-07-14 06:00:00,3995.505,3998.045,3994.855,3994.945,383,0.796
2026-07-14 00:31:00,2026-07-14 06:01:00,3994.97,3997.14,3994.58,3996.64,367,0.843
2026-07-14 00:32:00,2026-07-14 06:02:00,3996.655,3999.705,3996.095,3999.705,423,0.839
2026-07-14 00:33:00,2026-07-14 06:03:00,3999.585,4002.295,3998.605,4001.84,403,0.82
2026-07-14 00:34:00,2026-07-14 06:04:00,4001.75,4006.63,4001.75,4005.08,414,0.807
2026-07-14 00:35:00,2026-07-14 06:05:00,4004.99,4007.155,4004.035,4006.105,385,0.815
2026-07-14 00:36:00,2026-07-14 06:06:00,4006.28,4006.485,4002.425,4002.585,378,0.801
2026-07-14 00:37:00,2026-07-14 06:07:00,4002.555,4005.175,4002.555,4004.93,362,0.8
2026-07-14 00:38:00,2026-07-14 06:08:00,4004.91,4005.13,4003.35,4004.635,303,0.796
2026-07-14 00:39:00,2026-07-14 06:09:00,4004.615,4004.79,4002.45,4003.345,348,0.798
2026-07-14 00:40:00,2026-07-14 06:10:00,4003.415,4005.925,4002.705,4003.665,408,0.801
2026-07-14 00:41:00,2026-07-14 06:11:00,4003.685,4004.2,4000.375,4000.55,376,0.806
2026-07-14 00:42:00,2026-07-14 06:12:00,4000.67,4001.94,4000.17,4001.71,295,0.8
2026-07-14 00:43:00,2026-07-14 06:13:00,4001.73,4001.94,4000.5,4000.64,250,0.79
2026-07-14 00:44:00,2026-07-14 06:14:00,4000.68,4003.37,3999.27,4002.87,350,0.81
2026-07-14 00:45:00,2026-07-14 06:15:00,4002.94,4007.325,4002.7,4006.025,535,0.809
2026-07-14 00:46:00,2026-07-14 06:16:00,4005.995,4006.065,4002.475,4002.58,428,0.898
2026-07-14 00:47:00,2026-07-14 06:17:00,4002.555,4003.05,4000.345,4001.565,365,0.955
2026-07-14 00:48:00,2026-07-14 06:18:00,4001.96,4003.145,4001.02,4003.1,360,0.892
2026-07-14 00:49:00,2026-07-14 06:19:00,4003.09,4004.105,4002.18,4002.53,372,0.854
2026-07-14 00:50:00,2026-07-14 06:20:00,4002.63,4005.855,4002.39,4004.28,409,0.839
2026-07-14 00:51:00,2026-07-14 06:21:00,4004.3,4005.235,4003.165,4005.005,355,0.823
2026-07-14 00:52:00,2026-07-14 06:22:00,4004.965,4005.125,4003.475,4003.475,331,0.818
2026-07-14 00:53:00,2026-07-14 06:23:00,4003.48,4004.465,4002.715,4002.87,400,0.816
2026-07-14 00:54:00,2026-07-14 06:24:00,4002.89,4005.065,4002.325,4004.335,394,0.814
2026-07-14 00:55:00,2026-07-14 06:25:00,4004.4,4007.44,4003.855,4006.84,363,0.798
2026-07-14 00:56:00,2026-07-14 06:26:00,4006.76,4007.185,4003.045,4005.145,386,0.823
2026-07-14 00:57:00,2026-07-14 06:27:00,4005.17,4006.465,4004.155,4006.1,272,0.826
2026-07-14 00:58:00,2026-07-14 06:28:00,4005.965,4007.47,4005.595,4006.065,285,0.813
2026-07-14 00:59:00,2026-07-14 06:29:00,4006.165,4006.545,4003.825,4004.225,339,0.824
2026-07-14 01:00:00,2026-07-14 06:30:00,4004.28,4004.495,3996.585,3998.965,623,0.818
2026-07-14 01:01:00,2026-07-14 06:31:00,3999.24,3999.365,3994.025,3994.74,543,0.803
2026-07-14 01:02:00,2026-07-14 06:32:00,3994.69,3995.665,3992.045,3993.625,529,0.808
2026-07-14 01:03:00,2026-07-14 06:33:00,3993.505,3997.72,3993.05,3997.365,581,0.784
2026-07-14 01:04:00,2026-07-14 06:34:00,3997.275,3999.005,3996.64,3998.77,456,0.781
2026-07-14 01:05:00,2026-07-14 06:35:00,3998.97,4000.13,3996.28,3997.08,525,0.783
